USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
usamaahmed#9991,0xed23b82a6b1b0d2e75b87c01b0fdc7fcfb49f456,886.5901915907696,183.44370860927154,125.0,0.0,1070.033900200041
Tamarandom#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,631.7906481525175,208.39205298013243,142.0,0.0,840.18270113265
mafer_cordovas#1034,0xd5288ed50a195017e5b30595f65091a7767817a4,430.5731737530083,184.9112582781457,126.0,110.8,726.284432031154
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,602.9441065782643,0.0,0.0,110.8,713.7441065782642
Yineisy Mota#1449,0x5a227e2919a49f9d4698e9fd2b318efcd0f16bda,415.1985365249398,158.4953642384106,108.0,0.0,573.6939007633504
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,343.29745528762203,0.0,0.0,110.8,454.09745528762204
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,127.31644035203624,174.6384105960265,119.0,110.8,412.7548509480627
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,323.04793308480015,0.0,0.0,0.0,323.04793308480015
thiago.rossi#1714,missing user address,309.83991140106644,0.0,0.0,0.0,309.83991140106644
RachaelMalachy#5837,0xa15150d172ba951b4e5a20b2ca3cc0cb0d77d125,0.0,198.11920529801324,135.0,110.8,308.91920529801325
hanners717#2022,0x4368b073dc7691f08d385bd29ac55cbee2b45fe2,302.1873141899863,0.0,0.0,0.0,302.1873141899863
JessicaZartler#2263,0xb2821c0df0c414ff51d3e8033cba26df6aac587b,296.7568867679675,0.0,0.0,0.0,296.7568867679675
bustavo#8085,missing user address,256.1467338728705,0.0,0.0,0.0,256.1467338728705
divine_comedian#5493,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,244.57756240856966,0.0,0.0,0.0,244.57756240856966
iviangita#3204,0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,238.952695130008,0.0,0.0,0.0,238.952695130008
Rodricast#1415,missing user address,195.88426690576185,0.0,0.0,0.0,195.88426690576185
pat.zip (TE Academy)#5266,missing user address,193.9676454626964,0.0,0.0,0.0,193.9676454626964
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,192.59267790571465,0.0,0.0,0.0,192.59267790571465
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,187.1622504836959,0.0,0.0,0.0,187.1622504836959
mateodaza#3156,missing user address,185.34284896890188,0.0,0.0,0.0,185.34284896890188
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,169.06545526402715,0.0,0.0,0.0,169.06545526402715
"sem(🌸,🐝)#0161",missing user address,168.98212389693737,0.0,0.0,0.0,168.98212389693737
alexsotodigital#7208,missing user address,157.41295243263647,0.0,0.0,0.0,157.41295243263647
dan13ram#7722,missing user address,157.39906387145484,0.0,0.0,0.0,157.39906387145484
karmaticacid | AFK til Sept 12#1218,missing user address,138.3439579302534,0.0,0.0,0.0,138.3439579302534
Vyvy-vi#5040,missing user address,137.03843317917983,0.0,0.0,0.0,137.03843317917983
anna-marie#8824,0x8041748a2a16e9b7a3980107f4376774421642c8,135.64957706101646,0.0,0.0,0.0,135.64957706101646
ElCelaya#5849,missing user address,98.80322424614222,0.0,0.0,0.0,98.80322424614222
akrtws (TE Academy)#4246,missing user address,95.8310721532726,0.0,0.0,0.0,95.8310721532726
Oyealmond#7049,missing user address,92.31726617431927,0.0,0.0,0.0,92.31726617431927
ahmad#7204,missing user address,88.42846904346185,0.0,0.0,0.0,88.42846904346185
Niran | Panvala#9353,missing user address,86.109079326129,0.0,0.0,0.0,86.109079326129
Jeremy&TheGospelOfChange#8201,missing user address,86.109079326129,0.0,0.0,0.0,86.109079326129
heater#9765,missing user address,80.09533233448161,0.0,0.0,0.0,80.09533233448161
Ekeneodigwe#1502,missing user address,79.6370098154877,0.0,0.0,0.0,79.6370098154877
Rohit Malekar#7021,missing user address,78.70647621631825,0.0,0.0,0.0,78.70647621631825
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,78.70647621631825,0.0,0.0,0.0,78.70647621631825
ygg_anderson#4998,missing user address,77.77594261714879,0.0,0.0,0.0,77.77594261714879
JeffEmmett#7202,0x778549eb292ac98a96a05e122967f22efa003707,72.67884066348921,0.0,0.0,0.0,72.67884066348921
solsista#5370,missing user address,71.76219562550139,0.0,0.0,0.0,71.76219562550139
markop#2007,missing user address,70.83166202633193,0.0,0.0,0.0,70.83166202633193
Zeptimus#3359,missing user address,70.37333950733802,0.0,0.0,0.0,70.37333950733802
Felipe Duarte#8100,missing user address,66.66509367184182,0.0,0.0,0.0,66.66509367184182
danielo#2815,missing user address,57.41531192487376,0.0,0.0,0.0,57.41531192487376
andrej#6442,missing user address,53.23485500920201,0.0,0.0,0.0,53.23485500920201
natesuits#4789,missing user address,46.3044629795668,0.0,0.0,0.0,46.3044629795668
enti#1546,missing user address,42.58232858288896,0.0,0.0,0.0,42.58232858288896
Annn3#3538,missing user address,35.179725473078186,0.0,0.0,0.0,35.179725473078186
Adam Stallard#5971,missing user address,35.179725473078186,0.0,0.0,0.0,35.179725473078186
MS#4235,missing user address,34.26308043509036,0.0,0.0,0.0,34.26308043509036
Adar#8316,missing user address,33.79086935491482,0.0,0.0,0.0,33.79086935491482
missgene#7773,missing user address,33.3325468359209,0.0,0.0,0.0,33.3325468359209
gbaby.eth#2758,missing user address,32.02702208484734,0.0,0.0,0.0,32.02702208484734
Max Semenchuk#3335,0xb950e0e108546743af96eb493d4ff2abc63816db,27.957673658628657,0.0,0.0,0.0,27.957673658628657
Juankbell#7458,missing user address,24.721638903308005,0.0,0.0,0.0,24.721638903308005
pacobacpac#5457,missing user address,20.374519253456654,0.0,0.0,0.0,20.374519253456654
Leen#8610,missing user address,18.51345205511774,0.0,0.0,0.0,18.51345205511774
mantis#6576,missing user address,18.51345205511774,0.0,0.0,0.0,18.51345205511774
The Prophet Margin#9051,missing user address,18.51345205511774,0.0,0.0,0.0,18.51345205511774
BiancaGadelha#2667,missing user address,17.596807017129912,0.0,0.0,0.0,17.596807017129912
GideonRo#3175,missing user address,16.666273417960454,0.0,0.0,0.0,16.666273417960454
ALOYSIOUS#3049,missing user address,13.88856118163371,0.0,0.0,0.0,13.88856118163371
danlessa#2831,0x62e4851e88bec4f5c5ee3dd347f2c601a18af1af,13.430238662639798,0.0,0.0,0.0,13.430238662639798
AnnAnna#4694,0x9ef53569800e203c20200256cf134abc675bc8e1,12.041382544476427,0.0,0.0,0.0,12.041382544476427
Rohekbenitez#8753,missing user address,11.11084894530697,0.0,0.0,0.0,11.11084894530697
T!b!#2584,missing user address,8.791459227974139,0.0,0.0,0.0,8.791459227974139
logonaut.eth#9437,0xb0ccf43ada6cbaa26dcf4907117b496d49f74242,6.958169151998488,0.0,0.0,0.0,6.958169151998488
Dani Dos#6791,missing user address,6.944280590816856,0.0,0.0,0.0,6.944280590816856
sanjujain01986#4928,missing user address,6.485958071822943,0.0,0.0,0.0,6.485958071822943
bends#3537,missing user address,6.485958071822943,0.0,0.0,0.0,6.485958071822943
shawn#7046,missing user address,6.47206951064131,0.0,0.0,0.0,6.47206951064131
irenioskamoska#7519,missing user address,5.097101953659571,0.0,0.0,0.0,5.097101953659571
innov8tor3#3988,missing user address,4.2221225992166485,0.0,0.0,0.0,4.2221225992166485
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,4.166568354490113,0.0,0.0,0.0,4.166568354490113
mercedesrodsim#1317,missing user address,3.3332546835920907,0.0,0.0,0.0,3.3332546835920907
ClaraZi#5313,0xa9ccd6b0919e43fd7cfc990572e43c3cf6a17397,2.3610554008777305,0.0,0.0,0.0,2.3610554008777305
MisterBoyfriend#7096,missing user address,2.3193897173328293,0.0,0.0,0.0,2.3193897173328293
Michel Bauwens#1511,missing user address,2.3193897173328293,0.0,0.0,0.0,2.3193897173328293
K.#9150,missing user address,2.3193897173328293,0.0,0.0,0.0,2.3193897173328293
Gregory | RND#1990,missing user address,2.3193897173328293,0.0,0.0,0.0,2.3193897173328293
toraif#4775,0xe628534eaafd27ae8c98e02967586fad4cc70152,2.3193897173328293,0.0,0.0,0.0,2.3193897173328293
Kojak#5611,0xe3181f4596509af72d684d89947df309f41f65ff,1.388856118163371,0.0,0.0,0.0,1.388856118163371
KZ Flyer#0926,0x343ef442add9bd565d51b606f444f9221ad0aeb6,1.388856118163371,0.0,0.0,0.0,1.388856118163371
David (please DYOR...)#4116,missing user address,1.388856118163371,0.0,0.0,0.0,1.388856118163371
T Wells#9070,missing user address,1.388856118163371,0.0,0.0,0.0,1.388856118163371
