index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
22,62c5f7dd262dbd2259e42a94,2022-04-12T22:00:00.000Z,paxthemax#4454,kristofer#1475,for building and deploying the new Trusted Seed Minter contract! ,89.0,34.0,3.0,,,,False,False,False,liviade#1387,RachaelMalachy#5837,usamaahmed#9991,42.0,86.0
30,62c5f7dd262dbd2259e42a9c,2022-04-17T22:00:00.000Z,mZ#3472,iviangita#3204,for providing their guidance and thoughts about the proposed changes in the Trusted Seed and sharing their time with us ,8.0,21.0,55.0,,,,False,False,False,mafer_cordovas#1034,liviade#1387,usamaahmed#9991,28.0,47.0
41,62c5f7dd262dbd2259e42aa7,2022-04-17T22:00:00.000Z,Tamarandom#9361,"Griff (💜,💜)#8888",@Max Semenchuk for heading to Amsterdam and representing us and the Trusted Seed! ,22.0,55.0,13.0,62c5f7dd262dbd2259e42a98,62c5f7dd262dbd2259e42a95,62c5f7dd262dbd2259e42a95,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,9.01,42.0
48,62c5f7dd262dbd2259e42aae,2022-04-17T22:00:00.000Z,Tamarandom#9361,Yineisy Mota#1449,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,22.0,55.0,13.0,62c5f7dd262dbd2259e42a98,62c5f7dd262dbd2259e42a95,62c5f7dd262dbd2259e42a95,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,9.01,42.0
23,62c5f7dd262dbd2259e42a95,2022-04-17T22:00:00.000Z,Tamarandom#9361,liviade#1387,for representing the Commons Stack in Amsterdam with a presentation about the Commons and the Commons Prize! ,22.0,55.0,13.0,62c5f7dd262dbd2259e42a98,,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,24.88,42.0
34,62c5f7dd262dbd2259e42aa0,2022-04-17T22:00:00.000Z,Tamarandom#9361,iviangita#3204,for her ongoing talk at The DAOist and for representing Commons Stack ,22.0,55.0,13.0,62c5f7dd262dbd2259e42a98,,62c5f7dd262dbd2259e42a95,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,21.84,42.0
26,62c5f7dd262dbd2259e42a98,2022-04-17T22:00:00.000Z,Tamarandom#9361,Yineisy Mota#1449,for representing us in Amsterdam! ,22.1,55.0,13.0,,62c5f7dd262dbd2259e42a95,,False,False,False,liviade#1387,RachaelMalachy#5837,Yineisy Mota#1449,17.2,42.0
112,62c5f7dd262dbd2259e42aee,2022-05-05T22:00:00.000Z,mafer_cordovas#1034,hanners717#2022,for speaking at the ReFi Unconference!!! I'm so proud of you! ,34.0,13.0,1.0,,,,False,False,False,liviade#1387,Yineisy Mota#1449,usamaahmed#9991,16.0,33.0
46,62c5f7dd262dbd2259e42aac,2022-04-17T22:00:00.000Z,Max Semenchuk#3335,Yineisy Mota#1449,@Max Semenchuk    for heading to Amsterdam and representing us and the Trusted Seed! ,34.0,8.0,3.0,,,62c5f7dd262dbd2259e42aa2,False,False,False,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,14.3,31.0
36,62c5f7dd262dbd2259e42aa2,2022-04-17T22:00:00.000Z,Max Semenchuk#3335,iviangita#3204,@Max Semenchuk for representing Commons Stack in Amsterdam as well ,34.0,8.0,3.0,62c5f7dd262dbd2259e42aac,,,False,False,False,RachaelMalachy#5837,Tamarandom#9361,usamaahmed#9991,7.07,31.0
