,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
0,0,repres cs eth rio ,for representing CS at ETH Rio! ,23.13,mafer_cordovas#1034,2022-03-20T23:00:00.000Z,
1,1, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",48.67,iviangita#3204,2022-03-17T23:00:00.000Z,['attendance']
2,2,help deal stupid ,for helping me out and dealing with my stupidity. ,51.0,usamaahmed#9991,2022-03-19T23:00:00.000Z,['work']
3,3,support common stack graphic poap ,for their support in Commons Stack graphics and POAPs ,51.0,markop#2007,2022-04-03T22:00:00.000Z,['general']
4,4,awesom companion ethrio realli truli dedic expand vision common stack network build authent relationship web public good space ,"for being an awesome companion in EthRio, really, truly dedicated to expanding the vision of Common Stack, networking, and building authentic relationships in the Web3/public good space! ",7.47,mafer_cordovas#1034,2022-03-20T23:00:00.000Z,['work']
5,5, griff 💜 💜 yineisi mota warmth love alway ,"@griff (💜, 💜) @Yineisy Mota for your warmth and love now and always ",50.67,usamaahmed#9991,2022-03-08T23:00:00.000Z,
6,6, mount manu come mexico citi confer could meet irl first time ,@Mount Manu for coming to Mexico city for the conference so we could meet irl for the first time! ,7.47,Mount Manu#3530,2022-03-06T23:00:00.000Z,
7,7, griff 💜 💜 prophet margin irenioskamoska dani do join ama inclus cultur public good today ✨ ,"@griff (💜, 💜) @The Prophet Margin @irenioskamoska@Dani Dos for joining our AMA on ""Inclusion Culture in Public Goods"" today! ✨ ",67.33,usamaahmed#9991,2022-03-17T23:00:00.000Z,['attendance']
8,8,repres cs eth rio ,for representing CS at ETH Rio! ,50.83,mafer_cordovas#1034,2022-03-20T23:00:00.000Z,
9,9,help commun clarifi doubt ,for helping our community by clarifying doubts ,49.7,usamaahmed#9991,2022-03-20T23:00:00.000Z,['work']
10,10,schill trust seed tri recruit new memeb ,"for schilling the Trusted Seed, trying to recruit new memebers! ",7.47,mafer_cordovas#1034,2022-03-20T23:00:00.000Z,
11,11, yineisi mota griff 💜 💜 asses call past week alway great sync ,"@Yineisy Mota @griff (💜, 💜) for the assesments call this past week. Always great to sync ",51.67,"Griff (💜,💜)#8888",2022-03-06T23:00:00.000Z,
12,12,amaz evolut omega wait see consili librari begin bloom ,for the amazing evolution of Omega. Can't wait to see the Consilience Library begin to bloom ,51.67,solsista#5370,2022-04-03T22:00:00.000Z,
13,13,today twitter sync thank help content creation review ✨ ,for today's Twitter sync! Thanks for helping with content creation and review! ✨ ,52.33,usamaahmed#9991,2022-03-30T22:00:00.000Z,"['work', 'twitter']"
14,14,teach tokenom dao dev almost everi day ,for teaching me about tokenomics and DAO Devs until 2am almost every day. ,54.0,"sem(🌸,🐝)#0161",2022-04-03T22:00:00.000Z,
15,15, rohit malekar support bizdev cs gm ,@Rohit Malekar for his support with bizdev for CS and GM ,56.67,Rohit Malekar#7021,2022-04-03T22:00:00.000Z,['general']
16,16, yineisi mota griff 💜 💜 two prais quant session ,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",51.33,mafer_cordovas#1034,2022-03-08T23:00:00.000Z,
17,17, yineisi mota almost  hour prais quant 😱😱😱 ,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 ,97.67,acidlazzer#5796,2022-03-08T23:00:00.000Z,
18,18,contribut cs comm great vibe bring team ,for all of his contributions to CS Comms and the great vibes he brings to the team ,54.0,Ekeneodigwe#1502,2022-03-06T23:00:00.000Z,
19,19, yineisi mota griff 💜 💜 prais quant work done commun better 💚 ,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",8.13,mafer_cordovas#1034,2022-03-08T23:00:00.000Z,['work']
20,20,griff 💜 💜 almost  hour prais quant thank help us process suggest good playlist parti 🎉 ,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",9.7,mafer_cordovas#1034,2022-03-08T23:00:00.000Z,['work']
21,21,kindli provid use inform meme relat degen regen ,for kindly providing me with useful information and memes related to degen to regen! ,61.0,JessicaZartler#2263,2022-04-04T22:00:00.000Z,['lead']
22,22,separ time   regard regen partnership alway give valuabl thought give lot think 🤩 ,for separating some time for our 1:1 regarding the Regen Partnership! She always gives me valuable thoughts and gives me a lot to think of 🤩 ,68.0,JessicaZartler#2263,2022-03-20T23:00:00.000Z,
23,23,come server learn commun work hope see particip common prize ,for coming to our server to learn about our community and work. Hope to see you participating at the Commons Prize! ,56.67,alexsotodigital#7208,2022-04-03T22:00:00.000Z,['work']
24,24,advis hackathon project ethrio ,for advising a hackathon project at EthRio! ,10.8,mafer_cordovas#1034,2022-03-20T23:00:00.000Z,"['work', 'hack']"
25,25,share thought idea nomin form way word clean concis 🙏🏽 ,for sharing thoughtful ideas in the nomination form. Your way with wording is so clean and concise. 🙏🏽 ,52.33,JeffEmmett#7202,2022-04-03T22:00:00.000Z,"['lead', 'share']"
26,26,set cadcad studi group need ,for setting up the cadCAD Study Group! Very needed! ,57.67,heater#9765,2022-04-03T22:00:00.000Z,
27,27,por el excelent onboard tu trabajo en govern en mexico un gustazo conocert tenert en nuestra comunidad 🌱 ,por el excelente onboarding y tu trabajo en governance en Mexico. Un gustazo conocerte y tenerte en nuestra comunidad 🌱 ,55.0,alexsotodigital#7208,2022-03-28T22:00:00.000Z,
28,28,spend hour sunday talk common stack propos giveth take quarterback goal line 😉 ,for spending about an hour with me on Sunday talking through the Commons Stack proposal for Giveth and for taking on quarterbacking that through to the goal line. 😉 ,62.0,Jeremy&TheGospelOfChange#8201,2022-03-13T23:00:00.000Z,
29,29,help cs februari newslett draft idea proofread rock ,"for helping me with CS February newsletter (drafting, ideas, and proofreading) you rock! ",55.0,usamaahmed#9991,2022-03-06T23:00:00.000Z,['work']
30,30, akrtw te academi pat zip te academi  sign up te bachelor program ,@akrtws (TE Academy) @pat.zip (TE Academy) for the 900+ sign ups for the TE bachelor program! ,69.0,akrtws (TE Academy)#4246,2022-04-03T22:00:00.000Z,
31,31, yineisi mota griff 💜 💜 prais quant work done commun better 💚 ,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",14.47,acidlazzer#5796,2022-03-08T23:00:00.000Z,['work']
32,32,set regen partnership work k regen acquir ,"for setting up all the regen partnership work, 500k REGEN Acquired! ",80.33,thiago.rossi#1714,2022-04-03T22:00:00.000Z,['work']
33,33, yineisi mota almost  hour prais quant 😱😱😱 ,@Yineisy Mota for almost 8 hours of praise quant 😱😱😱 ,7.79,mafer_cordovas#1034,2022-03-08T23:00:00.000Z,
34,34, yineisi mota griff 💜 💜 two prais quant session ,"@Yineisy Mota @griff (💜, 💜) for the two praise quant sessions ",14.47,"Griff (💜,💜)#8888",2022-03-08T23:00:00.000Z,
35,35,hero get onalle ama comput serious epic improv action save day ,"for being a hero and getting Onallee in the AMA on her computer, seriously, epic improv action to save the day! ",51.8,Oyealmond#7049,2022-03-17T23:00:00.000Z,
36,36,edit trust seed spotlight video ,for editing the Trusted Seed Spotlight video ,57.67,ElCelaya#5849,2022-03-06T23:00:00.000Z,['work']
37,37,help research categor organ highlight inclus month ,for helping me research and categorize which organizations we should highlight for our inclusion month. ,55.0,usamaahmed#9991,2022-03-06T23:00:00.000Z,['work']
38,38,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,55.0,ygg_anderson#4998,2022-03-06T23:00:00.000Z,['work']
39,39, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",53.33,acidlazzer#5796,2022-03-06T23:00:00.000Z,
40,40,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,98.67,Vyvy-vi#5040,2022-03-06T23:00:00.000Z,['work']
41,41, mount manu good work daoist mexico ,@Mount Manu for all the good work during the DAOist Mexico ,56.67,Mount Manu#3530,2022-03-06T23:00:00.000Z,['work']
42,42,make beauti common stack slide ever honor use ,for making the most beautiful commons stack slides i have ever had the honor of using ,70.67,Rodricast#1415,2022-03-06T23:00:00.000Z,['work']
43,43,great hire work done help us find usama next fundrais lead  trial month ,"for all the great hiring work that they have done to help us find Usama, and our next fundraising leads! (2 are on trial months now!) ",63.67,ahmad#7204,2022-03-20T23:00:00.000Z,"['work', 'lead']"
44,44,awesom research done abc articl ,for the AWESOME research done on the ABC article ,100.33,usamaahmed#9991,2022-03-06T23:00:00.000Z,
45,45,move forward trust seed dashboard work everi week ,for moving forward with the Trusted Seed dashboard work every week. ,71.22,kristofer#1475,2022-03-06T23:00:00.000Z,['work']
46,46,incred work manag trust seed dashboard lot cat herd final pay ,"for the incredible work managing the trusted seed dashboard, a lot of cat herding is Finally about to pay off! ",11.02,kristofer#1475,2022-03-20T23:00:00.000Z,['work']
47,47, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",78.5,mateodaza#3156,2022-03-06T23:00:00.000Z,
48,48, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",27.47,karmaticacid | AFK til Sept 12#1218,2022-03-06T23:00:00.000Z,
49,49, griff 💜 💜 mount manu repres common stack giveth tec regen initi mexico citi last weekend ,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",10.97,karmaticacid | AFK til Sept 12#1218,2022-03-06T23:00:00.000Z,
50,50, griff 💜 💜 mount manu repres common stack giveth tec regen initi mexico citi last weekend ,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",52.92,Mount Manu#3530,2022-03-06T23:00:00.000Z,
51,51,griff 💜 💜 almost  hour prais quant thank help us process suggest good playlist parti 🎉 ,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",59.33,"Griff (💜,💜)#8888",2022-03-08T23:00:00.000Z,['work']
52,52, yineisi mota support comm twitter ,@Yineisy Mota for supporting comms and Twitter ,56.67,usamaahmed#9991,2022-03-06T23:00:00.000Z,"['twitter', 'general']"
53,53,griff 💜 💜 almost  hour prais quant thank help us process suggest good playlist parti 🎉 ,"and @griff (💜, 💜) for almost 8 hours of praise Quant! Thank you for helping us with this process and suggesting me some good playlists for the party 🎉 ",57.13,acidlazzer#5796,2022-03-08T23:00:00.000Z,['work']
54,54, griff 💜 💜 mount manu repres common stack giveth tec regen initi mexico citi last weekend ,"@griff (💜, 💜) @Mount Manu and all of those representing the Commons Stack, Giveth, the TEC and regen initiatives in Mexico City last weekend. ",54.95,mateodaza#3156,2022-03-06T23:00:00.000Z,
55,55,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,56.67,Nuggan#5183,2022-03-06T23:00:00.000Z,['work']
56,56,great hire work done help us find usama next fundrais lead  trial month ,"for all the great hiring work that they have done to help us find Usama, and our next fundraising leads! (2 are on trial months now!) ",59.33,freshelle#9882,2022-03-20T23:00:00.000Z,"['work', 'lead']"
57,57,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,63.67,divine_comedian#5493,2022-03-06T23:00:00.000Z,['work']
58,58,post product trust seed spotlight video ,for the post-production of the Trusted Seed Spotlight video ,13.47,ElCelaya#5849,2022-04-03T22:00:00.000Z,
59,59,alway put amazingli detail work prais system ,for always putting out amazingly detailed work with the Praise system! ,27.47,kristofer#1475,2022-04-03T22:00:00.000Z,['work']
60,60,share work trust seed confer across south america europ 🌐 ,for sharing the work of the Trusted Seed  in conferences across South America and Europe. 🌐 ,38.8,mafer_cordovas#1034,2022-04-03T22:00:00.000Z,"['work', 'share']"
61,61, yineisi mota griff 💜 💜 prais quant work done commun better 💚 ,"@Yineisy Mota @griff (💜, 💜) and for all the praise quant work done! Our community is better with you 💚 ",20.47,"Griff (💜,💜)#8888",2022-03-08T23:00:00.000Z,['work']
62,62,everyon els help push reward system forward probabl import piec make econom game around public good ,and everyone else helping to push the reward system forward... it is probably the most important piece we have to make economic games around Public Goods ,63.67,liviade#1387,2022-03-06T23:00:00.000Z,['work']
63,63, mount manu griff 💜 💜 ts represent daoist mexico ,"@Mount Manu @griff (💜, 💜) for the TS representation at the DAOist Mexico ",17.7,Mount Manu#3530,2022-03-06T23:00:00.000Z,
