,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DUPLICATION AGREED,ORIGINAL MSG
13,177,62c5f7dd262dbd2259e42ba0,2022-05-29T22:00:00.000Z,Tamarandom#9361,PhilH#1102,for reaching to Snapshot in order to help me with my issue with Commons Prize voting 🙏 ,0,62c5f7dd262dbd2259e42ba1,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,6.07,34.0,False,for reaching to Snapshot in order to help me with my issue with Commons Prize voting 🙏 
24,175,62c5f7dd262dbd2259e42b9e,2022-05-28T22:00:00.000Z,usamaahmed#9991,Tamarandom#9361,"@Yineisy Mota for doing SO MUCH outreach for Commons Prize and making sure all Trusted Seed know about the final vote and the finalists to vote for!
\ ",62c5f7dd262dbd2259e42b24,0,0,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,8.5,21.0,False,"@Yineisy Mota for doing SO MUCH outreach for Commons Prize and making sure all Trusted Seed know about the final vote and the finalists to vote for!
\ "
26,147,62c5f7dd262dbd2259e42b82,2022-05-26T22:00:00.000Z,graial#0787,Yineisy Mota#1449,"@griff (💜, 💜) @Yineisy Mota for participating in our AMA with Commons Prize finalists and asking incredibly insightful questions. Thanks for being a valuable member of the Commons Stack community. 🌱 ✨ ",62c5f7dd262dbd2259e42b3f,0,0,Yineisy Mota#1449,mafer_cordovas#1034,usamaahmed#9991,8.5,21.0,False,"@griff (💜, 💜) @Yineisy Mota for participating in our AMA with Commons Prize finalists and asking incredibly insightful questions. Thanks for being a valuable member of the Commons Stack community. 🌱 ✨ "
38,167,62c5f7dd262dbd2259e42b96,2022-05-26T22:00:00.000Z,babania#6905,Yineisy Mota#1449, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ ,62c5f7dd262dbd2259e42b6f,0,0,Yineisy Mota#1449,RachaelMalachy#5837,Tamarandom#9361,10.17,21.0,False, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ 
41,171,62c5f7dd262dbd2259e42b9a,2022-05-26T22:00:00.000Z,richardblythman | Algovera.ai#3425,Yineisy Mota#1449, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ ,0,0,62c5f7dd262dbd2259e42b8f,RachaelMalachy#5837,Tamarandom#9361,liviade#1387,9.97,21.0,False, @John Ellison   @richardblythman | Algovera.ai for all the effort you have put into presenting the communities nominated for the Commons Prize! BRAVO! 🙌 ✨ 
42,163,62c5f7dd262dbd2259e42b92,2022-05-26T22:00:00.000Z,Tamarandom#9361,Yineisy Mota#1449,for their amazing work coordinating the Commons Prize! ,62c5f7dd262dbd2259e42afb,0,62c5f7dd262dbd2259e42afb,Yineisy Mota#1449,RachaelMalachy#5837,mafer_cordovas#1034,8.0,21.0,False,for their amazing work coordinating the Commons Prize! 
43,156,62c5f7dd262dbd2259e42b8b,2022-05-26T22:00:00.000Z,babania#6905,iviangita#3204,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 ",62c5f7dd262dbd2259e42b6f,0,0,Yineisy Mota#1449,RachaelMalachy#5837,Tamarandom#9361,11.83,21.0,False,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 "
44,159,62c5f7dd262dbd2259e42b8e,2022-05-26T22:00:00.000Z,jaklatt#2299,iviangita#3204,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 ",62c5f7dd262dbd2259e42b70,0,0,Yineisy Mota#1449,Tamarandom#9361,mafer_cordovas#1034,9.17,21.0,False,"@John Ellison @richardblythman | Algovera.ai for all the amazing projects you're working on, making it to the final round of Commons Prize, and all the preparation you do to help our community learn more about your mission and the positive impact you create in this space. We're super excited to work and build with any of you! 🙏🏽 "
47,155,62c5f7dd262dbd2259e42b8a,2022-05-26T22:00:00.000Z,John Ellison#5093,usamaahmed#9991,@John Ellison for joining our AMA and representing Re-Fi DAO. 🙌   🚀 ,0,62c5f7dd262dbd2259e42b71,62c5f7dd262dbd2259e42b71,Tamarandom#9361,liviade#1387,usamaahmed#9991,6.87,21.0,False,@John Ellison for joining our AMA and representing Re-Fi DAO. 🙌   🚀 
48,161,62c5f7dd262dbd2259e42b90,2022-05-26T22:00:00.000Z,richardblythman | Algovera.ai#3425,usamaahmed#9991,@richardblythman | Algovera.ai for representing the AI Commons and giving us insights on how AI can shape the future of commons 💯 ,0,0,62c5f7dd262dbd2259e42b8f,RachaelMalachy#5837,Tamarandom#9361,liviade#1387,10.97,21.0,False,@richardblythman | Algovera.ai for representing the AI Commons and giving us insights on how AI can shape the future of commons 💯 
